,p,c_approx,epsilon_target,shots,accuracy_error,computation_time,cost
0,"(155.0, 0.397955239, 'TXN', 0.049315068493150684, 16.35)",0.25,0.01,10000,0.7828187275106977,15.569612979888916,16.508995452901754
1,"(155.0, 0.397955239, 'TXN', 0.049315068493150684, 16.35)",0.25,0.03,10000,0.6087414610547128,0.32160258293151855,1.052092336197174
2,"(155.0, 0.397955239, 'TXN', 0.049315068493150684, 16.35)",0.25,0.05,10000,0.17129967108569488,0.2621181011199951,0.46767770642282896
3,"(155.0, 0.397955239, 'TXN', 0.049315068493150684, 16.35)",0.25,0.07,10000,1.654244753696549,0.5722012519836426,2.5572949564195016
4,"(155.0, 0.397955239, 'TXN', 0.049315068493150684, 16.35)",0.25,0.09,10000,0.06284954885568794,1.0055992603302002,1.0810187189570257
5,"(155.0, 0.397955239, 'TXN', 0.049315068493150684, 16.35)",0.25,0.11,10000,0.2957036013696097,1.2618279457092285,1.6166722673527603
6,"(155.0, 0.397955239, 'TXN', 0.049315068493150684, 16.35)",0.25,0.13,10000,1.4977104044323148,1.5658128261566162,3.3630653114753937
7,"(155.0, 0.397955239, 'TXN', 0.049315068493150684, 16.35)",0.25,0.15,10000,2.2314028801671526,1.6098518371582031,4.287535293358786
8,"(155.0, 0.397955239, 'TXN', 0.049315068493150684, 16.35)",0.25,0.17,10000,1.5913732732068837,1.3097119331359863,3.2193598609842464
9,"(155.0, 0.397955239, 'TXN', 0.049315068493150684, 16.35)",0.25,0.19,10000,1.8723618803617406,1.4400086402893066,3.686842896723395
10,"(155.0, 0.397955239, 'TXN', 0.049315068493150684, 16.35)",0.25,0.21,10000,1.044378840729415,2.169907331466675,3.4231619403419726
11,"(155.0, 0.397955239, 'TXN', 0.049315068493150684, 16.35)",0.25,0.23,10000,1.4346592554509172,1.6511964797973633,3.3727875863384638
12,"(155.0, 0.397955239, 'TXN', 0.049315068493150684, 16.35)",0.25,0.25,10000,0.8258218095195886,2.2449800968170166,3.235966268240523
13,"(155.0, 0.397955239, 'TXN', 0.049315068493150684, 16.35)",0.25,0.27,10000,1.1848797897592291,2.06982421875,3.491679966461075
14,"(155.0, 0.397955239, 'TXN', 0.049315068493150684, 16.35)",0.25,0.29,10000,1.8717733226655788,2.4418749809265137,4.688002968125208
15,"(155.0, 0.397955239, 'TXN', 0.049315068493150684, 16.35)",0.25,0.31,10000,1.2473246560926583,2.0705440044403076,3.5673335917514972
16,"(225.0, 0.303473762, 'V', 0.0684931506849315, 19.27)",0.25,0.01,10000,1.4555229452510225,23.501704931259155,25.24833246556038
17,"(225.0, 0.303473762, 'V', 0.0684931506849315, 19.27)",0.25,0.03,10000,1.3440180238303157,2.8752615451812744,4.488083173777653
18,"(225.0, 0.303473762, 'V', 0.0684931506849315, 19.27)",0.25,0.05,10000,2.773431911031981,3.0073795318603516,6.335497825098729
19,"(225.0, 0.303473762, 'V', 0.0684931506849315, 19.27)",0.25,0.07,10000,0.20746971917289514,3.6219277381896973,3.8708914011971713
20,"(225.0, 0.303473762, 'V', 0.0684931506849315, 19.27)",0.25,0.09,10000,0.24664471371237795,4.112745046615601,4.408718703070454
21,"(225.0, 0.303473762, 'V', 0.0684931506849315, 19.27)",0.25,0.11,10000,0.9707633264873472,5.1735899448394775,6.338505936624294
22,"(225.0, 0.303473762, 'V', 0.0684931506849315, 19.27)",0.25,0.13,10000,1.4408792214285562,3.8778700828552246,5.606925148569492
23,"(225.0, 0.303473762, 'V', 0.0684931506849315, 19.27)",0.25,0.15,10000,0.12847235627321751,4.372582197189331,4.526749024717192
24,"(225.0, 0.303473762, 'V', 0.0684931506849315, 19.27)",0.25,0.17,10000,1.0295278131786603,4.055028438568115,5.290461814382508
25,"(225.0, 0.303473762, 'V', 0.0684931506849315, 19.27)",0.25,0.19,10000,1.2035226436110236,4.240464210510254,5.684691382843482
26,"(225.0, 0.303473762, 'V', 0.0684931506849315, 19.27)",0.25,0.21,10000,1.910176894064147,5.561154842376709,7.853367115253685
27,"(225.0, 0.303473762, 'V', 0.0684931506849315, 19.27)",0.25,0.23,10000,3.2226458828362716,5.589179754257202,9.456354813660727
28,"(225.0, 0.303473762, 'V', 0.0684931506849315, 19.27)",0.25,0.25,10000,1.6751078237580508,5.462586879730225,7.4727162682398856
29,"(225.0, 0.303473762, 'V', 0.0684931506849315, 19.27)",0.25,0.27,10000,1.283326041542992,5.766859292984009,7.306850542835599
30,"(225.0, 0.303473762, 'V', 0.0684931506849315, 19.27)",0.25,0.29,10000,2.2040132329563598,5.460585355758667,8.1054012353063
31,"(225.0, 0.303473762, 'V', 0.0684931506849315, 19.27)",0.25,0.31,10000,3.007165898149264,5.682783365249634,9.29138244302875
32,"(150.0, 0.231452998, 'CVX', 0.0684931506849315, 14.12)",0.25,0.01,10000,0.6775326269638953,33.789530515670776,34.60256966802745
33,"(150.0, 0.231452998, 'CVX', 0.0684931506849315, 14.12)",0.25,0.03,10000,1.2424676109953818,6.22249960899353,7.713460742187989
34,"(150.0, 0.231452998, 'CVX', 0.0684931506849315, 14.12)",0.25,0.05,10000,1.4927619440542799,6.523432731628418,8.314747064493554
35,"(150.0, 0.231452998, 'CVX', 0.0684931506849315, 14.12)",0.25,0.07,10000,0.24241408099513428,5.9649338722229,6.255830769417061
36,"(150.0, 0.231452998, 'CVX', 0.0684931506849315, 14.12)",0.25,0.09,10000,1.2753101442415105,6.4153358936309814,7.945708066720794
