,p,c_approx,epsilon_target,shots,accuracy_error,computation_time,cost
87,"(105, 0.3175, 'RNDM', 0.410958904109589, 9.592322896563658)",0.237347,0.080041,6384,1.8225545061415183,2.9034719467163086,5.0905373540861305
88,"(105, 0.32, 'RNDM', 0.410958904109589, 9.658017486479153)",0.237347,0.080041,6384,1.1499479215285326,2.3439486026763916,3.723886108510631
89,"(105, 0.3225, 'RNDM', 0.410958904109589, 9.723712397759222)",0.237347,0.080041,6384,0.0006649311054971463,3.0976383686065674,3.098436285933164
90,"(105, 0.325, 'RNDM', 0.410958904109589, 9.789407456198752)",0.237347,0.080041,6384,0.5084365166000566,3.0656087398529053,3.6757325597729733
91,"(105, 0.3275, 'RNDM', 0.410958904109589, 9.855102491622667)",0.237347,0.080041,6384,2.6858563158772295,2.9565091133117676,6.179536692364443
92,"(105, 0.33, 'RNDM', 0.410958904109589, 9.920797337734612)",0.237347,0.080041,6384,0.7129805156269153,2.736269950866699,3.5918465696189976
93,"(105, 0.3325, 'RNDM', 0.410958904109589, 9.986491831972288)",0.237347,0.080041,6384,0.4560950776146466,2.9212327003479004,3.4685467934854763
94,"(105, 0.335, 'RNDM', 0.410958904109589, 10.05218581536937)",0.237347,0.080041,6384,3.0459505457817873,3.178907632827759,6.834048287765903
95,"(105, 0.3375, 'RNDM', 0.410958904109589, 10.11787913242356)",0.237347,0.080041,6384,2.007824686750208,2.462251901626587,4.871641525726837
96,"(105, 0.34, 'RNDM', 0.410958904109589, 10.183571630970185)",0.237347,0.080041,6384,0.3693064832885913,3.0848217010498047,3.5279894809961143
97,"(105, 0.3425, 'RNDM', 0.410958904109589, 10.249263162061588)",0.237347,0.080041,6384,1.0005980246809134,2.911663055419922,4.112380685037018
98,"(105, 0.345, 'RNDM', 0.410958904109589, 10.31495357985159)",0.237347,0.080041,6384,1.4815570437903656,2.9506986141204834,4.728567066668922
99,"(105, 0.3475, 'RNDM', 0.410958904109589, 10.380642741484962)",0.237347,0.080041,6384,1.6612785890294521,3.146878480911255,5.140412787746597
100,"(105, 0.35, 'RNDM', 0.410958904109589, 10.446330506991501)",0.237347,0.080041,6384,1.5866655533633836,2.8195791244506836,4.723577788486744
101,"(105, 0.3525, 'RNDM', 0.410958904109589, 10.512016739184801)",0.237347,0.080041,6384,1.0003615639252263,2.7875499725341797,3.9879838492444515
102,"(105, 0.355, 'RNDM', 0.410958904109589, 10.577701303565071)",0.237347,0.080041,6384,0.4296828838941753,2.7775402069091797,3.29315966758219
103,"(105, 0.3575, 'RNDM', 0.410958904109589, 10.643384068226133)",0.237347,0.080041,6384,0.25512435020300117,2.7925546169281006,3.098703837171702
104,"(105, 0.36, 'RNDM', 0.410958904109589, 10.709064903766269)",0.237347,0.080041,6384,0.8747616327717438,3.0539400577545166,4.1036540170806095
105,"(105, 0.3625, 'RNDM', 0.410958904109589, 10.77474368320265)",0.237347,0.080041,6384,0.5052481742424249,2.5092954635620117,3.1155932726529216
106,"(105, 0.365, 'RNDM', 0.410958904109589, 10.840420281889422)",0.237347,0.080041,6384,0.7483365808944722,2.9878807067871094,3.885884603860476
107,"(105, 0.3675, 'RNDM', 0.410958904109589, 10.906094577438978)",0.237347,0.080041,6384,1.094386289783916,2.7194876670837402,4.032751214824439
108,"(105, 0.37, 'RNDM', 0.410958904109589, 10.971766449646495)",0.237347,0.080041,6384,1.4115225748807507,2.769681692123413,4.463508781980314
109,"(105, 0.3725, 'RNDM', 0.410958904109589, 11.037435780417432)",0.237347,0.080041,6384,0.31722379666333467,2.6916098594665527,3.0722784154625544
110,"(105, 0.375, 'RNDM', 0.410958904109589, 11.103102453697993)",0.237347,0.080041,6384,2.7367431481563997,2.587515115737915,5.871606893525595
111,"(105, 0.3775, 'RNDM', 0.410958904109589, 11.168766355408287)",0.237347,0.080041,6384,0.7205458248173944,2.798708200454712,3.663363190235585
112,"(105, 0.38, 'RNDM', 0.410958904109589, 11.234427373378118)",0.237347,0.080041,6384,2.205537760822102,3.278146743774414,5.924792056760936
113,"(105, 0.3825, 'RNDM', 0.410958904109589, 11.300085397285379)",0.237347,0.080041,6384,0.8440660171389034,2.866770029067993,3.879649249634677
114,"(105, 0.385, 'RNDM', 0.410958904109589, 11.365740318596622)",0.237347,0.080041,6384,0.11745581779442027,3.1290104389190674,3.269957420272372
115,"(105, 0.3875, 'RNDM', 0.410958904109589, 11.431392030510146)",0.237347,0.080041,6384,1.853601776860316,2.858762502670288,5.083084634902667
116,"(105, 0.39, 'RNDM', 0.410958904109589, 11.497040427901254)",0.237347,0.080041,6384,0.7021803711222567,2.9988906383514404,3.8415070836981484
117,"(105, 0.3925, 'RNDM', 0.410958904109589, 11.562685407269328)",0.237347,0.080041,6384,0.5802089476650085,2.9294986724853516,3.625749409683362
118,"(105, 0.395, 'RNDM', 0.410958904109589, 11.628326866687281)",0.237347,0.080041,6384,0.7352127728754034,2.928497314453125,3.8107526419036093
119,"(105, 0.3975, 'RNDM', 0.410958904109589, 11.69396470575262)",0.237347,0.080041,6384,0.2446135516816117,2.847424030303955,3.140960292321889
120,"(105, 0.4, 'RNDM', 0.410958904109589, 11.759598825540515)",0.237347,0.080041,6384,0.5802545282817686,2.9980452060699463,3.694350640008069
121,"(105, 0.4025, 'RNDM', 0.410958904109589, 11.825229128558533)",0.237347,0.080041,6384,1.7578343516035186,2.770353078842163,4.879754300766385
122,"(105, 0.405, 'RNDM', 0.410958904109589, 11.890855518703042)",0.237347,0.080041,6384,0.42095159003406835,3.022067070007324,3.5272089780482063
123,"(105, 0.4075, 'RNDM', 0.410958904109589, 11.95647790121722)",0.237347,0.080041,6384,1.7964825613129207,2.8649227619171143,5.020701835492619
124,"(105, 0.41, 'RNDM', 0.410958904109589, 12.022096182650692)",0.237347,0.080041,6384,0.11379481222579102,2.8088722229003906,2.94542599757134
125,"(105, 0.4125, 'RNDM', 0.410958904109589, 12.08771027082043)",0.237347,0.080041,6384,1.4246470207313848,2.8679258823394775,4.57750230721714
126,"(105, 0.415, 'RNDM', 0.410958904109589, 12.153320074773298)",0.237347,0.080041,6384,4.259099569146212,2.6617379188537598,7.772657401829214
127,"(105, 0.4175, 'RNDM', 0.410958904109589, 12.218925504749762)",0.237347,0.080041,6384,4.066539141629679,2.9081990718841553,7.78804604183977
128,"(105, 0.42, 'RNDM', 0.410958904109589, 12.28452647214894)",0.237347,0.080041,6384,1.8560904345145897,3.07635235786438,5.303660879281887
129,"(105, 0.4225, 'RNDM', 0.410958904109589, 12.350122889495005)",0.237347,0.080041,6384,0.5367571459939668,2.852146863937378,3.496255439130138
130,"(105, 0.425, 'RNDM', 0.410958904109589, 12.415714670404533)",0.237347,0.080041,6384,1.1639683850346287,2.8881804943084717,4.2849425563500265
131,"(105, 0.4275, 'RNDM', 0.410958904109589, 12.481301729555298)",0.237347,0.080041,6384,1.2179203713761861,2.580899238586426,4.042403684237849
132,"(105, 0.43, 'RNDM', 0.410958904109589, 12.546883982655842)",0.237347,0.080041,6384,1.1555722667529853,3.020153284072876,4.406840004176458
133,"(105, 0.4325, 'RNDM', 0.410958904109589, 12.612461346416374)",0.237347,0.080041,6384,3.8341340904610135,2.7240304946899414,7.324991403243158
134,"(105, 0.435, 'RNDM', 0.410958904109589, 12.678033738520462)",0.237347,0.080041,6384,2.3284203231453944,3.359463930130005,6.153568317904478
