,p,c_approx,epsilon_target,shots,accuracy_error,computation_time,cost
14,"(155.0, 0.397955239, 'TXN', 0.049315068493150684, 16.35)",0.35,0.29,1300,4.0466124622306126,2.121213674545288,6.977148629222023
15,"(155.0, 0.397955239, 'TXN', 0.049315068493150684, 16.35)",0.4,0.13,7900,0.8661956471114998,2.6546411514282227,3.6940759279620226
16,"(155.0, 0.397955239, 'TXN', 0.049315068493150684, 16.35)",0.325,0.09,1100,1.4805715161169317,2.200202703475952,3.97688852281627
17,"(52.0, 0.295173064, 'CSCO', 0.0684931506849315, 2.74)",0.475,0.17,1300,inf,inf,inf
18,"(155.0, 0.397955239, 'TXN', 0.049315068493150684, 16.35)",0.4,0.15,4300,1.2292761836969888,2.6306183338165283,4.105749754252915
19,"(155.0, 0.397955239, 'TXN', 0.049315068493150684, 16.35)",0.3,0.01,500,0.9771386581083128,29.374515056610107,30.547081446340083
20,"(155.0, 0.397955239, 'TXN', 0.049315068493150684, 16.35)",0.125,0.25,1700,3.6520351572560585,3.973315954208374,8.355758142915644
21,"(155.0, 0.397955239, 'TXN', 0.049315068493150684, 16.35)",0.15,0.31,5700,0.07609928010251465,3.954296588897705,4.045615725020722
22,"(155.0, 0.397955239, 'TXN', 0.049315068493150684, 16.35)",0.15,0.05,7500,0.16303097465573657,4.507005453109741,4.702642622696625
23,"(155.0, 0.397955239, 'TXN', 0.049315068493150684, 16.35)",0.175,0.19,2300,2.5983454134627095,4.229741811752319,7.34775630790757
24,"(155.0, 0.397955239, 'TXN', 0.049315068493150684, 16.35)",0.175,0.05,3300,0.4061926020060689,4.293802976608276,4.781234099015559
25,"(155.0, 0.397955239, 'TXN', 0.049315068493150684, 16.35)",0.45,0.27,6700,1.0092796247370188,4.021955251693726,5.2330908013781485
26,"(155.0, 0.397955239, 'TXN', 0.049315068493150684, 16.35)",0.5,0.19,5100,2.014148330495594,4.06787109375,6.484849090344713
27,"(155.0, 0.397955239, 'TXN', 0.049315068493150684, 16.35)",0.3,0.03,100,1.4852469881898003,17.953431844711304,19.735728230539063
28,"(155.0, 0.397955239, 'TXN', 0.049315068493150684, 16.35)",0.5,0.01,2100,1.522946210583168,16.617393255233765,18.444928707933567
29,"(155.0, 0.397955239, 'TXN', 0.049315068493150684, 16.35)",0.475,0.13,1300,2.4658384376575313,4.040964841842651,6.999970967031689
30,"(155.0, 0.397955239, 'TXN', 0.049315068493150684, 16.35)",0.45,0.09,2300,0.4219024791491215,3.6426334381103516,4.148916413089298
31,"(155.0, 0.397955239, 'TXN', 0.049315068493150684, 16.35)",0.275,0.21,300,2.9748368616390426,4.0003228187561035,7.570127052722954
