,p,c_approx,epsilon_target,shots,accuracy_error,computation_time,cost
14,"(105, 0.25, 'RNDM', 0.0410958904109589, 2.235935254809881)",0.237347,0.080041,6384,0.4288350864604249,1.7621161937713623,2.276718297523872
15,"(105, 0.25, 'RNDM', 0.043835616438356165, 2.31306180676804)",0.237347,0.080041,6384,0.0815738451464294,1.6288957595825195,1.726784373758235
16,"(105, 0.25, 'RNDM', 0.04657534246575343, 2.388041567103123)",0.237347,0.080041,6384,0.09638303488311806,2.3971753120422363,2.512834953901978
17,"(105, 0.25, 'RNDM', 0.049315068493150684, 2.461061215123351)",0.237347,0.080041,6384,0.09007671651784088,2.1928000450134277,2.300892104834837
18,"(105, 0.25, 'RNDM', 0.052054794520547946, 2.53228182436478)",0.237347,0.080041,6384,0.45124812431183026,2.1157281398773193,2.6572258890515155
19,"(105, 0.25, 'RNDM', 0.0547945205479452, 2.601843525784531)",0.237347,0.080041,6384,0.21623582984945244,2.0756583213806152,2.335141317199958
20,"(105, 0.25, 'RNDM', 0.057534246575342465, 2.669869132744047)",0.237347,0.080041,6384,0.6161822943525999,2.7112390995025635,3.4506578527256835
21,"(105, 0.25, 'RNDM', 0.06027397260273973, 2.736466997053391)",0.237347,0.080041,6384,0.19771184641319373,2.1669163703918457,2.404170586087678
22,"(105, 0.25, 'RNDM', 0.06301369863013699, 2.80173328650735)",0.237347,0.080041,6384,0.09830087989120129,2.39094614982605,2.5089072056954915
23,"(105, 0.25, 'RNDM', 0.06575342465753424, 2.8657538209975826)",0.237347,0.080041,6384,0.37572613610783234,2.755279541015625,3.206150904345024
24,"(105, 0.25, 'RNDM', 0.0684931506849315, 2.9286055674728146)",0.237347,0.080041,6384,0.00970428243175725,2.888535737991333,2.9001808769094417
25,"(105, 0.25, 'RNDM', 0.07123287671232877, 2.9903578681631515)",0.237347,0.080041,6384,0.49556274742346496,2.8675081729888916,3.4621834698970497
26,"(105, 0.25, 'RNDM', 0.07397260273972603, 3.051073458028604)",0.237347,0.080041,6384,0.02421663903480553,2.6793360710144043,2.708396037856171
27,"(105, 0.25, 'RNDM', 0.07671232876712329, 3.110809314024813)",0.237347,0.080041,6384,0.04133545627282009,2.645345687866211,2.694948235393595
28,"(105, 0.25, 'RNDM', 0.07945205479452055, 3.1696173689662217)",0.237347,0.080041,6384,0.6133164924893171,2.737428665161133,3.4734084561483134
29,"(105, 0.25, 'RNDM', 0.0821917808219178, 3.227545115472651)",0.237347,0.080041,6384,0.6998338713270225,2.670368194580078,3.510168840172505
30,"(105, 0.25, 'RNDM', 0.08493150684931507, 3.284636120003576)",0.237347,0.080041,6384,0.10644161651850848,3.1377956867218018,3.265525626544012
31,"(105, 0.25, 'RNDM', 0.08767123287671233, 3.340930462818548)",0.237347,0.080041,6384,0.17533063109742475,3.2459428310394287,3.4563395883563386
32,"(105, 0.25, 'RNDM', 0.09041095890410959, 3.3964651165070947)",0.237347,0.080041,6384,0.5450007815365612,2.6053569316864014,3.259357869530275
33,"(105, 0.25, 'RNDM', 0.09315068493150686, 3.4512742732570985)",0.237347,0.080041,6384,0.37511268013563104,2.798868179321289,3.2490033954840465
34,"(105, 0.25, 'RNDM', 0.0958904109589041, 3.505389629099888)",0.237347,0.080041,6384,0.010245090883296726,2.6507322788238525,2.6630263878838085
35,"(105, 0.25, 'RNDM', 0.09863013698630137, 3.558840631848952)",0.237347,0.080041,6384,0.1045482561097244,2.8138816356658936,2.939339542997563
36,"(105, 0.25, 'RNDM', 0.10136986301369863, 3.611654698244635)",0.237347,0.080041,6384,0.40746792881008975,3.1448616981506348,3.6338232127227426
37,"(105, 0.25, 'RNDM', 0.10410958904109589, 3.6638574048543404)",0.237347,0.080041,6384,0.4348324865119033,2.5806691646575928,3.1024681484718766
38,"(105, 0.25, 'RNDM', 0.10684931506849316, 3.7154726565037066)",0.237347,0.080041,6384,0.5149910451231721,2.5916926860809326,3.209681940228739
39,"(105, 0.25, 'RNDM', 0.1095890410958904, 3.7665228353894804)",0.237347,0.080041,6384,0.11365910572128879,2.67475962638855,2.8111505532540964
40,"(105, 0.25, 'RNDM', 0.11232876712328767, 3.8170289335148695)",0.237347,0.080041,6384,0.9246057514177624,2.5694737434387207,3.6790006451400354
41,"(105, 0.25, 'RNDM', 0.11506849315068493, 3.8670106706719594)",0.237347,0.080041,6384,0.0030397370995456363,2.5804834365844727,2.5841311211039275
42,"(105, 0.25, 'RNDM', 0.1178082191780822, 3.9164865998539042)",0.237347,0.080041,6384,0.567296174838197,2.5724761486053467,3.253231558411183
43,"(105, 0.25, 'RNDM', 0.12054794520547946, 3.96547420169577)",0.237347,0.080041,6384,0.2775749748550478,2.4153308868408203,2.7484208566668777
44,"(105, 0.25, 'RNDM', 0.1232876712328767, 4.013989969308284)",0.237347,0.080041,6384,0.8906845485423407,2.4423556327819824,3.511177091032791
45,"(105, 0.25, 'RNDM', 0.12602739726027398, 4.062049484672762)",0.237347,0.080041,6384,0.1953433137647913,2.7404072284698486,2.974819204987598
46,"(105, 0.25, 'RNDM', 0.12876712328767123, 4.109667487601001)",0.237347,0.080041,6384,0.061986774305260006,2.585146188735962,2.659530317902274
47,"(105, 0.25, 'RNDM', 0.13150684931506848, 4.1568579381260236)",0.237347,0.080041,6384,0.3250316511204834,2.6923630237579346,3.082401005102515
48,"(105, 0.25, 'RNDM', 0.13424657534246576, 4.203634073072443)",0.237347,0.080041,6384,0.2965530931189111,2.966614007949829,3.3224777196925226
49,"(105, 0.25, 'RNDM', 0.136986301369863, 4.250008457457092)",0.237347,0.080041,6384,0.3105292114854272,2.825253963470459,3.1978890172529715
50,"(105, 0.25, 'RNDM', 0.13972602739726028, 4.29599303128537)",0.237347,0.080041,6384,0.7856556910722201,3.1065242290496826,4.049311058336347
51,"(105, 0.25, 'RNDM', 0.14246575342465753, 4.341599152238203)",0.237347,0.080041,6384,0.9341211032525196,2.8542943000793457,3.975239623982369
52,"(105, 0.25, 'RNDM', 0.14520547945205478, 4.386837634681548)",0.237347,0.080041,6384,1.1245467898180808,2.9038949012756348,4.253351049057332
53,"(105, 0.25, 'RNDM', 0.14794520547945206, 4.431718785379161)",0.237347,0.080041,6384,0.13260020813596185,2.8698642253875732,3.0289844751507276
54,"(105, 0.25, 'RNDM', 0.1506849315068493, 4.476252436242255)",0.237347,0.080041,6384,0.45036639783046173,3.114264726638794,3.654704404035348
55,"(105, 0.25, 'RNDM', 0.15342465753424658, 4.5204479744115105)",0.237347,0.080041,6384,0.02261659129098348,3.2563860416412354,3.2835259511904153
56,"(105, 0.25, 'RNDM', 0.15616438356164383, 4.564314369932241)",0.237347,0.080041,6384,0.21104723162388694,2.8298275470733643,3.0830842250220285
57,"(105, 0.25, 'RNDM', 0.1589041095890411, 4.607860201253764)",0.237347,0.080041,6384,0.19961201186143462,3.0071582794189453,3.2466926936526668
58,"(105, 0.25, 'RNDM', 0.16164383561643836, 4.651093678758841)",0.237347,0.080041,6384,0.12847539157746457,2.9731271266937256,3.127297596586683
59,"(105, 0.25, 'RNDM', 0.1643835616438356, 4.694022666505788)",0.237347,0.080041,6384,0.12787884649436077,2.623807430267334,2.777262046060567
60,"(105, 0.25, 'RNDM', 0.16712328767123288, 4.736654702346421)",0.237347,0.080041,6384,1.0272207703800351,3.0301811695098877,4.26284609396593
61,"(105, 0.25, 'RNDM', 0.16986301369863013, 4.778997016566073)",0.237347,0.080041,6384,1.218687460989651,3.013165235519409,4.47559018870699
62,"(105, 0.25, 'RNDM', 0.1726027397260274, 4.8210565491757436)",0.237347,0.080041,6384,0.48356291736496715,2.999152660369873,3.579428161207834
63,"(105, 0.25, 'RNDM', 0.17534246575342466, 4.862839965974125)",0.237347,0.080041,6384,0.17747958261986518,2.6781816482543945,2.891157147398233
64,"(105, 0.25, 'RNDM', 0.1780821917808219, 4.904353673484422)",0.237347,0.080041,6384,0.13700149980552379,2.797290325164795,2.9616921249314236
65,"(105, 0.25, 'RNDM', 0.18082191780821918, 4.945603832861025)",0.237347,0.080041,6384,0.4757887178206497,3.0606019496917725,3.631548411076552
66,"(105, 0.25, 'RNDM', 0.18356164383561643, 4.986596372851622)",0.237347,0.080041,6384,0.8620037434972705,2.8243861198425293,3.858790612039254
67,"(105, 0.25, 'RNDM', 0.1863013698630137, 5.0273370018917305)",0.237347,0.080041,6384,0.8522136616794178,3.778045415878296,4.800701809893598
68,"(105, 0.25, 'RNDM', 0.18904109589041096, 5.067831219401938)",0.237347,0.080041,6384,0.11809957599123244,2.592395067214966,2.734114558404445
69,"(105, 0.25, 'RNDM', 0.1917808219178082, 5.108084326350905)",0.237347,0.080041,6384,0.9073975385178636,2.675589084625244,3.7644661308466807
70,"(105, 0.25, 'RNDM', 0.19452054794520549, 5.148101435141719)",0.237347,0.080041,6384,0.062247132051905574,3.0924978256225586,3.167194384084845
